Residual_Energy (%),Application_Type,Security_Level,Algorithm
10.0,N,1,Skipjack
10.0,C,2,PRINCE
10.0,VC,3,Piccolo
20.0,N,1,LBlock
20.0,C,2,PRINCE
20.0,VC,3,RECTANGLE
30.0,N,2,PRINCE
30.0,C,3,RECTANGLE
30.0,VC,3,RECTANGLE
40.0,N,2,PRINCE
40.0,C,3,Piccolo
40.0,VC,4,SIMON
50.0,N,3,RECTANGLE
50.0,C,4,SIMON
50.0,VC,4,HIGHT
60.0,N,3,Piccolo
60.0,C,4,HIGHT
60.0,VC,4,PRESENT
70.0,N,3,Piccolo
70.0,C,4,PRESENT
70.0,VC,5,XTEA
80.0,N,4,SIMON
80.0,C,4,PRESENT
80.0,VC,5,XTEA
90.0,N,4,HIGHT
90.0,C,5,XTEA
90.0,VC,6,AES
100.0,N,4,PRESENT
100.0,C,5,XTEA
100.0,VC,6,AES
3.4414783276526184,N,1,Skipjack
3.4414783276526184,C,2,Skipjack
3.4414783276526184,VC,3,Piccolo
9.519796081484802,N,1,Skipjack
9.519796081484802,C,2,Skipjack
9.519796081484802,VC,3,Piccolo
0.1288982169244124,N,1,Skipjack
0.1288982169244124,C,2,Skipjack
0.1288982169244124,VC,3,Piccolo
5.983099851063062,N,1,Skipjack
5.983099851063062,C,2,Skipjack
5.983099851063062,VC,3,Piccolo
7.179444840108489,N,1,Skipjack
7.179444840108489,C,2,Skipjack
7.179444840108489,VC,3,Piccolo
8.25664621390422,N,1,Skipjack
8.25664621390422,C,2,Skipjack
8.25664621390422,VC,3,Piccolo
9.10840289404505,N,1,Skipjack
9.10840289404505,C,2,Skipjack
9.10840289404505,VC,3,Piccolo
6.732255472675009,N,1,Skipjack
6.732255472675009,C,2,Skipjack
6.732255472675009,VC,3,Piccolo
0.504603138846218,N,1,Skipjack
0.504603138846218,C,2,Skipjack
0.504603138846218,VC,3,Piccolo
2.080416458931964,N,1,Skipjack
2.080416458931964,C,2,Skipjack
2.080416458931964,VC,3,Piccolo
8.239534995708706,N,1,Skipjack
8.239534995708706,C,2,Skipjack
8.239534995708706,VC,3,Piccolo
9.648283463079327,N,1,Skipjack
9.648283463079327,C,2,Skipjack
9.648283463079327,VC,3,Piccolo
3.2527454105232714,N,1,Skipjack
3.2527454105232714,C,2,Skipjack
3.2527454105232714,VC,3,Piccolo
0.6317660911260814,N,1,Skipjack
0.6317660911260814,C,2,Skipjack
0.6317660911260814,VC,3,Piccolo
1.8648520472316055,N,1,Skipjack
1.8648520472316055,C,2,Skipjack
1.8648520472316055,VC,3,Piccolo
3.9915761210771272,N,1,Skipjack
3.9915761210771272,C,2,Skipjack
3.9915761210771272,VC,3,Piccolo
8.023242904275682,N,1,Skipjack
8.023242904275682,C,2,Skipjack
8.023242904275682,VC,3,Piccolo
3.5116292019679562,N,1,Skipjack
3.5116292019679562,C,2,Skipjack
3.5116292019679562,VC,3,Piccolo
2.5244197737662546,N,1,Skipjack
2.5244197737662546,C,2,Skipjack
2.5244197737662546,VC,3,Piccolo
2.4710548320632144,N,1,Skipjack
2.4710548320632144,C,2,Skipjack
2.4710548320632144,VC,3,Piccolo
3.5798630206073137,N,1,Skipjack
3.5798630206073137,C,2,Skipjack
3.5798630206073137,VC,3,Piccolo
8.496997103540913,N,1,Skipjack
8.496997103540913,C,2,Skipjack
8.496997103540913,VC,3,Piccolo
0.8889883103819063,N,1,Skipjack
0.8889883103819063,C,2,Skipjack
0.8889883103819063,VC,3,Piccolo
4.363167806526339,N,1,Skipjack
4.363167806526339,C,2,Skipjack
4.363167806526339,VC,3,Piccolo
9.678904536387192,N,1,Skipjack
9.678904536387192,C,2,Skipjack
9.678904536387192,VC,3,Piccolo
8.310004994712315,N,1,Skipjack
8.310004994712315,C,2,Skipjack
8.310004994712315,VC,3,Piccolo
5.5271796196537615,N,1,Skipjack
5.5271796196537615,C,2,Skipjack
5.5271796196537615,VC,3,Piccolo
7.309944777328672,N,1,Skipjack
7.309944777328672,C,2,Skipjack
7.309944777328672,VC,3,Piccolo
2.5476273998362275,N,1,Skipjack
2.5476273998362275,C,2,Skipjack
2.5476273998362275,VC,3,Piccolo
8.16741270179318,N,1,Skipjack
8.16741270179318,C,2,Skipjack
8.16741270179318,VC,3,Piccolo
4.708936217981968,N,1,Skipjack
4.708936217981968,C,2,Skipjack
4.708936217981968,VC,3,Piccolo
7.432166995299609,N,1,Skipjack
7.432166995299609,C,2,Skipjack
7.432166995299609,VC,3,Piccolo
5.279435084894525,N,1,Skipjack
5.279435084894525,C,2,Skipjack
5.279435084894525,VC,3,Piccolo
5.9222878404738655,N,1,Skipjack
5.9222878404738655,C,2,Skipjack
5.9222878404738655,VC,3,Piccolo
6.606707011528121,N,1,Skipjack
6.606707011528121,C,2,Skipjack
6.606707011528121,VC,3,Piccolo
0.44033475707093594,N,1,Skipjack
0.44033475707093594,C,2,Skipjack
0.44033475707093594,VC,3,Piccolo
9.399355120061836,N,1,Skipjack
9.399355120061836,C,2,Skipjack
9.399355120061836,VC,3,Piccolo
1.9709710115217927,N,1,Skipjack
1.9709710115217927,C,2,Skipjack
1.9709710115217927,VC,3,Piccolo
7.806316249864105,N,1,Skipjack
7.806316249864105,C,2,Skipjack
7.806316249864105,VC,3,Piccolo
7.327513623665335,N,1,Skipjack
7.327513623665335,C,2,Skipjack
7.327513623665335,VC,3,Piccolo
7.2508633537252365,N,1,Skipjack
7.2508633537252365,C,2,Skipjack
7.2508633537252365,VC,3,Piccolo
3.339874586013216,N,1,Skipjack
3.339874586013216,C,2,Skipjack
3.339874586013216,VC,3,Piccolo
9.04611291100799,N,1,Skipjack
9.04611291100799,C,2,Skipjack
9.04611291100799,VC,3,Piccolo
4.495809144088309,N,1,Skipjack
4.495809144088309,C,2,Skipjack
4.495809144088309,VC,3,Piccolo
6.333202084576476,N,1,Skipjack
6.333202084576476,C,2,Skipjack
6.333202084576476,VC,3,Piccolo
4.743698097949604,N,1,Skipjack
4.743698097949604,C,2,Skipjack
4.743698097949604,VC,3,Piccolo
4.302374122130599,N,1,Skipjack
4.302374122130599,C,2,Skipjack
4.302374122130599,VC,3,Piccolo
2.493534177597386,N,1,Skipjack
2.493534177597386,C,2,Skipjack
2.493534177597386,VC,3,Piccolo
0.3113360913519214,N,1,Skipjack
0.3113360913519214,C,2,Skipjack
0.3113360913519214,VC,3,Piccolo
2.0690044990407266,N,1,Skipjack
2.0690044990407266,C,2,Skipjack
2.0690044990407266,VC,3,Piccolo
2.03584238708605,N,1,Skipjack
2.03584238708605,C,2,Skipjack
2.03584238708605,VC,3,Piccolo
1.987658792453647,N,1,Skipjack
1.987658792453647,C,2,Skipjack
1.987658792453647,VC,3,Piccolo
5.906978504139177,N,1,Skipjack
5.906978504139177,C,2,Skipjack
5.906978504139177,VC,3,Piccolo
0.5209055412821939,N,1,Skipjack
0.5209055412821939,C,2,Skipjack
0.5209055412821939,VC,3,Piccolo
7.530134116474154,N,1,Skipjack
7.530134116474154,C,2,Skipjack
7.530134116474154,VC,3,Piccolo
3.4589623787748813,N,1,Skipjack
3.4589623787748813,C,2,Skipjack
3.4589623787748813,VC,3,Piccolo
0.4554987093883578,N,1,Skipjack
0.4554987093883578,C,2,Skipjack
0.4554987093883578,VC,3,Piccolo
7.78805218457566,N,1,Skipjack
7.78805218457566,C,2,Skipjack
7.78805218457566,VC,3,Piccolo
3.989347108039528,N,1,Skipjack
3.989347108039528,C,2,Skipjack
3.989347108039528,VC,3,Piccolo
6.780765024924431,N,1,Skipjack
6.780765024924431,C,2,Skipjack
6.780765024924431,VC,3,Piccolo
2.377637178496197,N,1,Skipjack
2.377637178496197,C,2,Skipjack
2.377637178496197,VC,3,Piccolo
5.266152091562485,N,1,Skipjack
5.266152091562485,C,2,Skipjack
5.266152091562485,VC,3,Piccolo
3.223701001189627,N,1,Skipjack
3.223701001189627,C,2,Skipjack
3.223701001189627,VC,3,Piccolo
1.4706062420510713,N,1,Skipjack
1.4706062420510713,C,2,Skipjack
1.4706062420510713,VC,3,Piccolo
4.947082092806674,N,1,Skipjack
4.947082092806674,C,2,Skipjack
4.947082092806674,VC,3,Piccolo
8.33038979625173,N,1,Skipjack
8.33038979625173,C,2,Skipjack
8.33038979625173,VC,3,Piccolo
2.8045444843120593,N,1,Skipjack
2.8045444843120593,C,2,Skipjack
2.8045444843120593,VC,3,Piccolo
9.846142439917907,N,1,Skipjack
9.846142439917907,C,2,Skipjack
9.846142439917907,VC,3,Piccolo
7.5943623352051635,N,1,Skipjack
7.5943623352051635,C,2,Skipjack
7.5943623352051635,VC,3,Piccolo
3.301172966874506,N,1,Skipjack
3.301172966874506,C,2,Skipjack
3.301172966874506,VC,3,Piccolo
3.7228240102751906,N,1,Skipjack
3.7228240102751906,C,2,Skipjack
3.7228240102751906,VC,3,Piccolo
8.243585192754184,N,1,Skipjack
8.243585192754184,C,2,Skipjack
8.243585192754184,VC,3,Piccolo
0.8456660290559526,N,1,Skipjack
0.8456660290559526,C,2,Skipjack
0.8456660290559526,VC,3,Piccolo
1.8604727511404429,N,1,Skipjack
1.8604727511404429,C,2,Skipjack
1.8604727511404429,VC,3,Piccolo
1.9622976541860149,N,1,Skipjack
1.9622976541860149,C,2,Skipjack
1.9622976541860149,VC,3,Piccolo
3.148042265025323,N,1,Skipjack
3.148042265025323,C,2,Skipjack
3.148042265025323,VC,3,Piccolo
6.675990655126341,N,1,Skipjack
6.675990655126341,C,2,Skipjack
6.675990655126341,VC,3,Piccolo
5.849154756812814,N,1,Skipjack
5.849154756812814,C,2,Skipjack
5.849154756812814,VC,3,Piccolo
2.3259940776198276,N,1,Skipjack
2.3259940776198276,C,2,Skipjack
2.3259940776198276,VC,3,Piccolo
6.414345271761487,N,1,Skipjack
6.414345271761487,C,2,Skipjack
6.414345271761487,VC,3,Piccolo
2.3380809198196904,N,1,Skipjack
2.3380809198196904,C,2,Skipjack
2.3380809198196904,VC,3,Piccolo
1.229371158310979,N,1,Skipjack
1.229371158310979,C,2,Skipjack
1.229371158310979,VC,3,Piccolo
5.245989675088449,N,1,Skipjack
5.245989675088449,C,2,Skipjack
5.245989675088449,VC,3,Piccolo
5.220975139970829,N,1,Skipjack
5.220975139970829,C,2,Skipjack
5.220975139970829,VC,3,Piccolo
0.5333903484336955,N,1,Skipjack
0.5333903484336955,C,2,Skipjack
0.5333903484336955,VC,3,Piccolo
6.099563163135433,N,1,Skipjack
6.099563163135433,C,2,Skipjack
6.099563163135433,VC,3,Piccolo
2.3694033991494523,N,1,Skipjack
2.3694033991494523,C,2,Skipjack
2.3694033991494523,VC,3,Piccolo
9.75131257885632,N,1,Skipjack
9.75131257885632,C,2,Skipjack
9.75131257885632,VC,3,Piccolo
9.869829157388692,N,1,Skipjack
9.869829157388692,C,2,Skipjack
9.869829157388692,VC,3,Piccolo
6.248616051082786,N,1,Skipjack
6.248616051082786,C,2,Skipjack
6.248616051082786,VC,3,Piccolo
