Residual_Energy (%),Application_Type,Security_Level,Algorithm
10.0,N,L1,Skipjack
10.0,C,L2,PRINCE
10.0,VC,L3,RECTANGLE
20.0,N,L1,LBlock
20.0,C,L2,PRINCE
20.0,VC,L3,RECTANGLE
30.0,N,L2,PRINCE
30.0,C,L3,RECTANGLE
30.0,VC,L3,Piccolo
40.0,N,L2,PRINCE
40.0,C,L3,Piccolo
40.0,VC,L4,SIMON
50.0,N,L3,RECTANGLE
50.0,C,L4,SIMON
50.0,VC,L4,HIGHT
60.0,N,L3,RECTANGLE
60.0,C,L4,SIMON
60.0,VC,L4,PRESENT
70.0,N,L3,Piccolo
70.0,C,L4,HIGHT
70.0,VC,L5,XTEA
80.0,N,L4,SIMON
80.0,C,L4,PRESENT
80.0,VC,L5,XTEA
90.0,N,L4,HIGHT
90.0,C,L5,XTEA
90.0,VC,L6,AES
100.0,N,L4,PRESENT
100.0,C,L5,XTEA
100.0,VC,L6,AES
0.6076532328087803,N,L1,Skipjack
0.6076532328087803,C,L2,PRINCE
0.6076532328087803,VC,L3,RECTANGLE
3.726312188584242,N,L1,Skipjack
3.726312188584242,C,L2,PRINCE
3.726312188584242,VC,L3,RECTANGLE
7.992641035710673,N,L1,Skipjack
7.992641035710673,C,L2,PRINCE
7.992641035710673,VC,L3,RECTANGLE
9.395537129905135,N,L1,Skipjack
9.395537129905135,C,L2,PRINCE
9.395537129905135,VC,L3,RECTANGLE
8.353040671514817,N,L1,Skipjack
8.353040671514817,C,L2,PRINCE
8.353040671514817,VC,L3,RECTANGLE
2.5645884241813843,N,L1,Skipjack
2.5645884241813843,C,L2,PRINCE
2.5645884241813843,VC,L3,RECTANGLE
0.4304323891833073,N,L1,Skipjack
0.4304323891833073,C,L2,PRINCE
0.4304323891833073,VC,L3,RECTANGLE
7.347851261046536,N,L1,Skipjack
7.347851261046536,C,L2,PRINCE
7.347851261046536,VC,L3,RECTANGLE
1.744182575501373,N,L1,Skipjack
1.744182575501373,C,L2,PRINCE
1.744182575501373,VC,L3,RECTANGLE
4.029334374708984,N,L1,Skipjack
4.029334374708984,C,L2,PRINCE
4.029334374708984,VC,L3,RECTANGLE
8.996124419249126,N,L1,Skipjack
8.996124419249126,C,L2,PRINCE
8.996124419249126,VC,L3,RECTANGLE
7.370814866097687,N,L1,Skipjack
7.370814866097687,C,L2,PRINCE
7.370814866097687,VC,L3,RECTANGLE
2.664712582042111,N,L1,Skipjack
2.664712582042111,C,L2,PRINCE
2.664712582042111,VC,L3,RECTANGLE
9.136909557868915,N,L1,Skipjack
9.136909557868915,C,L2,PRINCE
9.136909557868915,VC,L3,RECTANGLE
9.742169752133341,N,L1,Skipjack
9.742169752133341,C,L2,PRINCE
9.742169752133341,VC,L3,RECTANGLE
7.5094466392150006,N,L1,Skipjack
7.5094466392150006,C,L2,PRINCE
7.5094466392150006,VC,L3,RECTANGLE
7.8917663966143445,N,L1,Skipjack
7.8917663966143445,C,L2,PRINCE
7.8917663966143445,VC,L3,RECTANGLE
9.754542648137887,N,L1,Skipjack
9.754542648137887,C,L2,PRINCE
9.754542648137887,VC,L3,RECTANGLE
2.3026826605424713,N,L1,Skipjack
2.3026826605424713,C,L2,PRINCE
2.3026826605424713,VC,L3,RECTANGLE
0.6573882719711177,N,L1,Skipjack
0.6573882719711177,C,L2,PRINCE
0.6573882719711177,VC,L3,RECTANGLE
9.715364099688346,N,L1,Skipjack
9.715364099688346,C,L2,PRINCE
9.715364099688346,VC,L3,RECTANGLE
9.598243140579847,N,L1,Skipjack
9.598243140579847,C,L2,PRINCE
9.598243140579847,VC,L3,RECTANGLE
4.0784719009647965,N,L1,Skipjack
4.0784719009647965,C,L2,PRINCE
4.0784719009647965,VC,L3,RECTANGLE
4.474926457495563,N,L1,Skipjack
4.474926457495563,C,L2,PRINCE
4.474926457495563,VC,L3,RECTANGLE
9.599396669369941,N,L1,Skipjack
9.599396669369941,C,L2,PRINCE
9.599396669369941,VC,L3,RECTANGLE
0.8335521233453136,N,L1,Skipjack
0.8335521233453136,C,L2,PRINCE
0.8335521233453136,VC,L3,RECTANGLE
9.481374547731036,N,L1,Skipjack
9.481374547731036,C,L2,PRINCE
9.481374547731036,VC,L3,RECTANGLE
1.9704347805627753,N,L1,Skipjack
1.9704347805627753,C,L2,PRINCE
1.9704347805627753,VC,L3,RECTANGLE
7.456484523142573,N,L1,Skipjack
7.456484523142573,C,L2,PRINCE
7.456484523142573,VC,L3,RECTANGLE
7.031173111365531,N,L1,Skipjack
7.031173111365531,C,L2,PRINCE
7.031173111365531,VC,L3,RECTANGLE
7.184974372038893,N,L1,Skipjack
7.184974372038893,C,L2,PRINCE
7.184974372038893,VC,L3,RECTANGLE
7.025367968516223,N,L1,Skipjack
7.025367968516223,C,L2,PRINCE
7.025367968516223,VC,L3,RECTANGLE
6.051668490277785,N,L1,Skipjack
6.051668490277785,C,L2,PRINCE
6.051668490277785,VC,L3,RECTANGLE
7.0281538603593585,N,L1,Skipjack
7.0281538603593585,C,L2,PRINCE
7.0281538603593585,VC,L3,RECTANGLE
4.528951806422419,N,L1,Skipjack
4.528951806422419,C,L2,PRINCE
4.528951806422419,VC,L3,RECTANGLE
0.9742198304546212,N,L1,Skipjack
0.9742198304546212,C,L2,PRINCE
0.9742198304546212,VC,L3,RECTANGLE
2.0197576859446564,N,L1,Skipjack
2.0197576859446564,C,L2,PRINCE
2.0197576859446564,VC,L3,RECTANGLE
6.651300577048866,N,L1,Skipjack
6.651300577048866,C,L2,PRINCE
6.651300577048866,VC,L3,RECTANGLE
7.299433781058264,N,L1,Skipjack
7.299433781058264,C,L2,PRINCE
7.299433781058264,VC,L3,RECTANGLE
9.855662998761673,N,L1,Skipjack
9.855662998761673,C,L2,PRINCE
9.855662998761673,VC,L3,RECTANGLE
4.24284213769031,N,L1,Skipjack
4.24284213769031,C,L2,PRINCE
4.24284213769031,VC,L3,RECTANGLE
6.651792735283539,N,L1,Skipjack
6.651792735283539,C,L2,PRINCE
6.651792735283539,VC,L3,RECTANGLE
8.43279066392091,N,L1,Skipjack
8.43279066392091,C,L2,PRINCE
8.43279066392091,VC,L3,RECTANGLE
1.3942106174272095,N,L1,Skipjack
1.3942106174272095,C,L2,PRINCE
1.3942106174272095,VC,L3,RECTANGLE
8.664373259509434,N,L1,Skipjack
8.664373259509434,C,L2,PRINCE
8.664373259509434,VC,L3,RECTANGLE
8.832169134286868,N,L1,Skipjack
8.832169134286868,C,L2,PRINCE
8.832169134286868,VC,L3,RECTANGLE
0.16158576636678967,N,L1,Skipjack
0.16158576636678967,C,L2,PRINCE
0.16158576636678967,VC,L3,RECTANGLE
0.9365363657302295,N,L1,Skipjack
0.9365363657302295,C,L2,PRINCE
0.9365363657302295,VC,L3,RECTANGLE
0.363482246220892,N,L1,Skipjack
0.363482246220892,C,L2,PRINCE
0.363482246220892,VC,L3,RECTANGLE
3.5442642336361274,N,L1,Skipjack
3.5442642336361274,C,L2,PRINCE
3.5442642336361274,VC,L3,RECTANGLE
5.082882625142026,N,L1,Skipjack
5.082882625142026,C,L2,PRINCE
5.082882625142026,VC,L3,RECTANGLE
1.259835685362366,N,L1,Skipjack
1.259835685362366,C,L2,PRINCE
1.259835685362366,VC,L3,RECTANGLE
4.090179183637872,N,L1,Skipjack
4.090179183637872,C,L2,PRINCE
4.090179183637872,VC,L3,RECTANGLE
9.479818701656612,N,L1,Skipjack
9.479818701656612,C,L2,PRINCE
9.479818701656612,VC,L3,RECTANGLE
8.927664977862628,N,L1,Skipjack
8.927664977862628,C,L2,PRINCE
8.927664977862628,VC,L3,RECTANGLE
2.8133159530202647,N,L1,Skipjack
2.8133159530202647,C,L2,PRINCE
2.8133159530202647,VC,L3,RECTANGLE
