Residual_Energy (%),Application_Type,Security_Level,Algorithm
10.0,NC,L1,Skipjack
10.0,C,L2,PRINCE
10.0,VC,L3,RECTANGLE
20.0,NC,L1,LBlock
20.0,C,L2,PRINCE
20.0,VC,L3,RECTANGLE
30.0,NC,L2,PRINCE
30.0,C,L3,RECTANGLE
30.0,VC,L3,Piccolo
40.0,NC,L2,PRINCE
40.0,C,L3,Piccolo
40.0,VC,L4,SIMON
50.0,NC,L3,RECTANGLE
50.0,C,L4,SIMON
50.0,VC,L4,HIGHT
60.0,NC,L3,RECTANGLE
60.0,C,L4,SIMON
60.0,VC,L4,PRESENT
70.0,NC,L3,Piccolo
70.0,C,L4,HIGHT
70.0,VC,L5,XTEA
80.0,NC,L4,SIMON
80.0,C,L4,PRESENT
80.0,VC,L5,XTEA
90.0,NC,L4,HIGHT
90.0,C,L5,XTEA
90.0,VC,L6,AES
100.0,NC,L4,PRESENT
100.0,C,L5,XTEA
100.0,VC,L6,AES
1.6184179168881085,NC,L1,Skipjack
1.6184179168881085,C,L2,PRINCE
1.6184179168881085,VC,L3,RECTANGLE
4.059694924467316,NC,L1,Skipjack
4.059694924467316,C,L2,PRINCE
4.059694924467316,VC,L3,RECTANGLE
9.932136180005276,NC,L1,Skipjack
9.932136180005276,C,L2,PRINCE
9.932136180005276,VC,L3,RECTANGLE
8.786253988081068,NC,L1,Skipjack
8.786253988081068,C,L2,PRINCE
8.786253988081068,VC,L3,RECTANGLE
3.7177120568801767,NC,L1,Skipjack
3.7177120568801767,C,L2,PRINCE
3.7177120568801767,VC,L3,RECTANGLE
3.4047188761477134,NC,L1,Skipjack
3.4047188761477134,C,L2,PRINCE
3.4047188761477134,VC,L3,RECTANGLE
6.322233882942596,NC,L1,Skipjack
6.322233882942596,C,L2,PRINCE
6.322233882942596,VC,L3,RECTANGLE
6.791661005760979,NC,L1,Skipjack
6.791661005760979,C,L2,PRINCE
6.791661005760979,VC,L3,RECTANGLE
7.60249843461838,NC,L1,Skipjack
7.60249843461838,C,L2,PRINCE
7.60249843461838,VC,L3,RECTANGLE
5.806028348416009,NC,L1,Skipjack
5.806028348416009,C,L2,PRINCE
5.806028348416009,VC,L3,RECTANGLE
3.1188128175386067,NC,L1,Skipjack
3.1188128175386067,C,L2,PRINCE
3.1188128175386067,VC,L3,RECTANGLE
3.5104541335786434,NC,L1,Skipjack
3.5104541335786434,C,L2,PRINCE
3.5104541335786434,VC,L3,RECTANGLE
3.8865371178465367,NC,L1,Skipjack
3.8865371178465367,C,L2,PRINCE
3.8865371178465367,VC,L3,RECTANGLE
0.7447880313060917,NC,L1,Skipjack
0.7447880313060917,C,L2,PRINCE
0.7447880313060917,VC,L3,RECTANGLE
6.699510236339608,NC,L1,Skipjack
6.699510236339608,C,L2,PRINCE
6.699510236339608,VC,L3,RECTANGLE
6.965445047974134,NC,L1,Skipjack
6.965445047974134,C,L2,PRINCE
6.965445047974134,VC,L3,RECTANGLE
4.270003267731041,NC,L1,Skipjack
4.270003267731041,C,L2,PRINCE
4.270003267731041,VC,L3,RECTANGLE
3.175970058812707,NC,L1,Skipjack
3.175970058812707,C,L2,PRINCE
3.175970058812707,VC,L3,RECTANGLE
8.456757833237893,NC,L1,Skipjack
8.456757833237893,C,L2,PRINCE
8.456757833237893,VC,L3,RECTANGLE
2.1461668636609508,NC,L1,Skipjack
2.1461668636609508,C,L2,PRINCE
2.1461668636609508,VC,L3,RECTANGLE
0.39140950390824214,NC,L1,Skipjack
0.39140950390824214,C,L2,PRINCE
0.39140950390824214,VC,L3,RECTANGLE
3.985867500206731,NC,L1,Skipjack
3.985867500206731,C,L2,PRINCE
3.985867500206731,VC,L3,RECTANGLE
7.247803263105963,NC,L1,Skipjack
7.247803263105963,C,L2,PRINCE
7.247803263105963,VC,L3,RECTANGLE
6.368506378896077,NC,L1,Skipjack
6.368506378896077,C,L2,PRINCE
6.368506378896077,VC,L3,RECTANGLE
3.421439998312338,NC,L1,Skipjack
3.421439998312338,C,L2,PRINCE
3.421439998312338,VC,L3,RECTANGLE
1.59883177818825,NC,L1,Skipjack
1.59883177818825,C,L2,PRINCE
1.59883177818825,VC,L3,RECTANGLE
4.404100794670313,NC,L1,Skipjack
4.404100794670313,C,L2,PRINCE
4.404100794670313,VC,L3,RECTANGLE
1.2161660425261978,NC,L1,Skipjack
1.2161660425261978,C,L2,PRINCE
1.2161660425261978,VC,L3,RECTANGLE
2.8106626395464263,NC,L1,Skipjack
2.8106626395464263,C,L2,PRINCE
2.8106626395464263,VC,L3,RECTANGLE
1.3699100625201566,NC,L1,Skipjack
1.3699100625201566,C,L2,PRINCE
1.3699100625201566,VC,L3,RECTANGLE
9.847674002745716,NC,L1,Skipjack
9.847674002745716,C,L2,PRINCE
9.847674002745716,VC,L3,RECTANGLE
1.3257968456268554,NC,L1,Skipjack
1.3257968456268554,C,L2,PRINCE
1.3257968456268554,VC,L3,RECTANGLE
7.132925987836609,NC,L1,Skipjack
7.132925987836609,C,L2,PRINCE
7.132925987836609,VC,L3,RECTANGLE
8.270734309500277,NC,L1,Skipjack
8.270734309500277,C,L2,PRINCE
8.270734309500277,VC,L3,RECTANGLE
2.146158484805063,NC,L1,Skipjack
2.146158484805063,C,L2,PRINCE
2.146158484805063,VC,L3,RECTANGLE
7.122256827600407,NC,L1,Skipjack
7.122256827600407,C,L2,PRINCE
7.122256827600407,VC,L3,RECTANGLE
2.0427406391093794,NC,L1,Skipjack
2.0427406391093794,C,L2,PRINCE
2.0427406391093794,VC,L3,RECTANGLE
9.285718372568926,NC,L1,Skipjack
9.285718372568926,C,L2,PRINCE
9.285718372568926,VC,L3,RECTANGLE
5.006274133713929,NC,L1,Skipjack
5.006274133713929,C,L2,PRINCE
5.006274133713929,VC,L3,RECTANGLE
2.380878152971553,NC,L1,Skipjack
2.380878152971553,C,L2,PRINCE
2.380878152971553,VC,L3,RECTANGLE
6.295416090161638,NC,L1,Skipjack
6.295416090161638,C,L2,PRINCE
6.295416090161638,VC,L3,RECTANGLE
3.494050288687439,NC,L1,Skipjack
3.494050288687439,C,L2,PRINCE
3.494050288687439,VC,L3,RECTANGLE
5.2449028345240105,NC,L1,Skipjack
5.2449028345240105,C,L2,PRINCE
5.2449028345240105,VC,L3,RECTANGLE
2.8695532092883367,NC,L1,Skipjack
2.8695532092883367,C,L2,PRINCE
2.8695532092883367,VC,L3,RECTANGLE
3.877164139939553,NC,L1,Skipjack
3.877164139939553,C,L2,PRINCE
3.877164139939553,VC,L3,RECTANGLE
9.434048177878648,NC,L1,Skipjack
9.434048177878648,C,L2,PRINCE
9.434048177878648,VC,L3,RECTANGLE
2.538739284064108,NC,L1,Skipjack
2.538739284064108,C,L2,PRINCE
2.538739284064108,VC,L3,RECTANGLE
5.855647577210754,NC,L1,Skipjack
5.855647577210754,C,L2,PRINCE
5.855647577210754,VC,L3,RECTANGLE
3.1939562913499318,NC,L1,Skipjack
3.1939562913499318,C,L2,PRINCE
3.1939562913499318,VC,L3,RECTANGLE
5.326049309920254,NC,L1,Skipjack
5.326049309920254,C,L2,PRINCE
5.326049309920254,VC,L3,RECTANGLE
3.1463638455356557,NC,L1,Skipjack
3.1463638455356557,C,L2,PRINCE
3.1463638455356557,VC,L3,RECTANGLE
5.697154664921732,NC,L1,Skipjack
5.697154664921732,C,L2,PRINCE
5.697154664921732,VC,L3,RECTANGLE
3.3445755211261616,NC,L1,Skipjack
3.3445755211261616,C,L2,PRINCE
3.3445755211261616,VC,L3,RECTANGLE
9.839405167806998,NC,L1,Skipjack
9.839405167806998,C,L2,PRINCE
9.839405167806998,VC,L3,RECTANGLE
2.921732716213631,NC,L1,Skipjack
2.921732716213631,C,L2,PRINCE
2.921732716213631,VC,L3,RECTANGLE
5.962366133247466,NC,L1,Skipjack
5.962366133247466,C,L2,PRINCE
5.962366133247466,VC,L3,RECTANGLE
2.7785756810006856,NC,L1,Skipjack
2.7785756810006856,C,L2,PRINCE
2.7785756810006856,VC,L3,RECTANGLE
3.5343539692087624,NC,L1,Skipjack
3.5343539692087624,C,L2,PRINCE
3.5343539692087624,VC,L3,RECTANGLE
1.1855320272819747,NC,L1,Skipjack
1.1855320272819747,C,L2,PRINCE
1.1855320272819747,VC,L3,RECTANGLE
8.21598625335528,NC,L1,Skipjack
8.21598625335528,C,L2,PRINCE
8.21598625335528,VC,L3,RECTANGLE
3.1147269064682637,NC,L1,Skipjack
3.1147269064682637,C,L2,PRINCE
3.1147269064682637,VC,L3,RECTANGLE
4.3436669734481645,NC,L1,Skipjack
4.3436669734481645,C,L2,PRINCE
4.3436669734481645,VC,L3,RECTANGLE
1.6125173912996005,NC,L1,Skipjack
1.6125173912996005,C,L2,PRINCE
1.6125173912996005,VC,L3,RECTANGLE
8.608877357221406,NC,L1,Skipjack
8.608877357221406,C,L2,PRINCE
8.608877357221406,VC,L3,RECTANGLE
1.5281485108084858,NC,L1,Skipjack
1.5281485108084858,C,L2,PRINCE
1.5281485108084858,VC,L3,RECTANGLE
5.113222038611708,NC,L1,Skipjack
5.113222038611708,C,L2,PRINCE
5.113222038611708,VC,L3,RECTANGLE
2.161529864633761,NC,L1,Skipjack
2.161529864633761,C,L2,PRINCE
2.161529864633761,VC,L3,RECTANGLE
8.164620633197991,NC,L1,Skipjack
8.164620633197991,C,L2,PRINCE
8.164620633197991,VC,L3,RECTANGLE
7.7936056811912655,NC,L1,Skipjack
7.7936056811912655,C,L2,PRINCE
7.7936056811912655,VC,L3,RECTANGLE
5.393904573130151,NC,L1,Skipjack
5.393904573130151,C,L2,PRINCE
5.393904573130151,VC,L3,RECTANGLE
1.375510720182369,NC,L1,Skipjack
1.375510720182369,C,L2,PRINCE
1.375510720182369,VC,L3,RECTANGLE
9.863359525909262,NC,L1,Skipjack
9.863359525909262,C,L2,PRINCE
9.863359525909262,VC,L3,RECTANGLE
6.284719740059266,NC,L1,Skipjack
6.284719740059266,C,L2,PRINCE
6.284719740059266,VC,L3,RECTANGLE
1.7720162807852013,NC,L1,Skipjack
1.7720162807852013,C,L2,PRINCE
1.7720162807852013,VC,L3,RECTANGLE
4.435500223911974,NC,L1,Skipjack
4.435500223911974,C,L2,PRINCE
4.435500223911974,VC,L3,RECTANGLE
1.1993685352177486,NC,L1,Skipjack
1.1993685352177486,C,L2,PRINCE
1.1993685352177486,VC,L3,RECTANGLE
6.735722827120361,NC,L1,Skipjack
6.735722827120361,C,L2,PRINCE
6.735722827120361,VC,L3,RECTANGLE
2.191474969237097,NC,L1,Skipjack
2.191474969237097,C,L2,PRINCE
2.191474969237097,VC,L3,RECTANGLE
0.11230796854036051,NC,L1,Skipjack
0.11230796854036051,C,L2,PRINCE
0.11230796854036051,VC,L3,RECTANGLE
3.5227761591626283,NC,L1,Skipjack
3.5227761591626283,C,L2,PRINCE
3.5227761591626283,VC,L3,RECTANGLE
0.6884463330400792,NC,L1,Skipjack
0.6884463330400792,C,L2,PRINCE
0.6884463330400792,VC,L3,RECTANGLE
4.243221362969093,NC,L1,Skipjack
4.243221362969093,C,L2,PRINCE
4.243221362969093,VC,L3,RECTANGLE
6.0205663038372546,NC,L1,Skipjack
6.0205663038372546,C,L2,PRINCE
6.0205663038372546,VC,L3,RECTANGLE
6.740391187218121,NC,L1,Skipjack
6.740391187218121,C,L2,PRINCE
6.740391187218121,VC,L3,RECTANGLE
5.564522799262733,NC,L1,Skipjack
5.564522799262733,C,L2,PRINCE
5.564522799262733,VC,L3,RECTANGLE
4.111186903570744,NC,L1,Skipjack
4.111186903570744,C,L2,PRINCE
4.111186903570744,VC,L3,RECTANGLE
8.939545920251485,NC,L1,Skipjack
8.939545920251485,C,L2,PRINCE
8.939545920251485,VC,L3,RECTANGLE
7.442610004175707,NC,L1,Skipjack
7.442610004175707,C,L2,PRINCE
7.442610004175707,VC,L3,RECTANGLE
0.999962331258637,NC,L1,Skipjack
0.999962331258637,C,L2,PRINCE
0.999962331258637,VC,L3,RECTANGLE
2.9381308852618626,NC,L1,Skipjack
2.9381308852618626,C,L2,PRINCE
2.9381308852618626,VC,L3,RECTANGLE
0.9037403529298194,NC,L1,Skipjack
0.9037403529298194,C,L2,PRINCE
0.9037403529298194,VC,L3,RECTANGLE
2.370254905352006,NC,L1,Skipjack
2.370254905352006,C,L2,PRINCE
2.370254905352006,VC,L3,RECTANGLE
4.885867386757089,NC,L1,Skipjack
4.885867386757089,C,L2,PRINCE
4.885867386757089,VC,L3,RECTANGLE
1.253054668804523,NC,L1,Skipjack
1.253054668804523,C,L2,PRINCE
1.253054668804523,VC,L3,RECTANGLE
6.602882339843102,NC,L1,Skipjack
6.602882339843102,C,L2,PRINCE
6.602882339843102,VC,L3,RECTANGLE
1.668371287445809,NC,L1,Skipjack
1.668371287445809,C,L2,PRINCE
1.668371287445809,VC,L3,RECTANGLE
7.8091668917213966,NC,L1,Skipjack
7.8091668917213966,C,L2,PRINCE
